Results for prediction length: 25
Experiment 01: ADE_a: 0.0930±0.0291, ADE_b: 0.1320±0.0651, ADE_c: 0.1857±0.0723, ADE_c: 0.0815±0.0083, FDE_a: 0.2459±0.0871, FDE_b: 0.2116±0.0190, FDE_c: 0.7096±0.3285, FDE_d: 0.2090±0.0182
Experiment 02: ADE_a: 0.0865±0.0259, ADE_b: 0.1208±0.0581, ADE_c: 0.1887±0.0722, ADE_c: 0.0781±0.0052, FDE_a: 0.2300±0.0709, FDE_b: 0.2056±0.0154, FDE_c: 0.7327±0.3334, FDE_d: 0.2035±0.0140
Experiment 03: ADE_a: 0.0861±0.0233, ADE_b: 0.1182±0.0543, ADE_c: 0.1970±0.0721, ADE_c: 0.0804±0.0047, FDE_a: 0.2207±0.0584, FDE_b: 0.2103±0.0124, FDE_c: 0.7701±0.3436, FDE_d: 0.2070±0.0138
Experiment 04: ADE_a: 0.0808±0.0202, ADE_b: 0.1089±0.0484, ADE_c: 0.1951±0.0770, ADE_c: 0.0767±0.0056, FDE_a: 0.2135±0.0539, FDE_b: 0.2022±0.0152, FDE_c: 0.7769±0.3587, FDE_d: 0.2009±0.0128
Experiment 05: ADE_a: 0.0766±0.0140, ADE_b: 0.1036±0.0405, ADE_c: 0.1947±0.0776, ADE_c: 0.0752±0.0058, FDE_a: 0.2032±0.0376, FDE_b: 0.1978±0.0137, FDE_c: 0.7832±0.3679, FDE_d: 0.1966±0.0139
Experiment 06: ADE_a: 0.0753±0.0118, ADE_b: 0.1005±0.0357, ADE_c: 0.1951±0.0749, ADE_c: 0.0752±0.0049, FDE_a: 0.1980±0.0317, FDE_b: 0.1984±0.0123, FDE_c: 0.7885±0.3615, FDE_d: 0.1968±0.0119
Experiment 07: ADE_a: 0.0724±0.0110, ADE_b: 0.0952±0.0303, ADE_c: 0.1919±0.0784, ADE_c: 0.0749±0.0065, FDE_a: 0.1892±0.0274, FDE_b: 0.1974±0.0154, FDE_c: 0.7794±0.3715, FDE_d: 0.1955±0.0151
Experiment 08: ADE_a: 0.0744±0.0092, ADE_b: 0.0959±0.0247, ADE_c: 0.1907±0.0731, ADE_c: 0.0776±0.0054, FDE_a: 0.1938±0.0187, FDE_b: 0.2046±0.0134, FDE_c: 0.7721±0.3524, FDE_d: 0.2033±0.0135
Experiment 09: ADE_a: 0.0705±0.0082, ADE_b: 0.0913±0.0237, ADE_c: 0.1876±0.0662, ADE_c: 0.0751±0.0064, FDE_a: 0.1821±0.0220, FDE_b: 0.1973±0.0150, FDE_c: 0.7642±0.3377, FDE_d: 0.1952±0.0149
Experiment 10: ADE_a: 0.0699±0.0072, ADE_b: 0.0874±0.0196, ADE_c: 0.1856±0.0668, ADE_c: 0.0746±0.0057, FDE_a: 0.1816±0.0181, FDE_b: 0.1964±0.0120, FDE_c: 0.7570±0.3388, FDE_d: 0.1954±0.0123
Experiment 11: ADE_a: 0.0680±0.0070, ADE_b: 0.0864±0.0176, ADE_c: 0.1830±0.0638, ADE_c: 0.0747±0.0054, FDE_a: 0.1729±0.0202, FDE_b: 0.1965±0.0146, FDE_c: 0.7489±0.3258, FDE_d: 0.1938±0.0143
Experiment 12: ADE_a: 0.0683±0.0063, ADE_b: 0.0846±0.0134, ADE_c: 0.1786±0.0571, ADE_c: 0.0748±0.0062, FDE_a: 0.1748±0.0120, FDE_b: 0.1979±0.0135, FDE_c: 0.7306±0.3061, FDE_d: 0.1955±0.0136
Experiment 13: ADE_a: 0.0676±0.0071, ADE_b: 0.0823±0.0117, ADE_c: 0.1748±0.0554, ADE_c: 0.0745±0.0057, FDE_a: 0.1761±0.0151, FDE_b: 0.1959±0.0137, FDE_c: 0.7176±0.2965, FDE_d: 0.1942±0.0134
Experiment 14: ADE_a: 0.0671±0.0057, ADE_b: 0.0812±0.0086, ADE_c: 0.1731±0.0537, ADE_c: 0.0750±0.0060, FDE_a: 0.1730±0.0142, FDE_b: 0.1965±0.0150, FDE_c: 0.7091±0.2868, FDE_d: 0.1951±0.0155
Experiment 15: ADE_a: 0.0661±0.0046, ADE_b: 0.0788±0.0074, ADE_c: 0.1693±0.0509, ADE_c: 0.0741±0.0051, FDE_a: 0.1695±0.0093, FDE_b: 0.1954±0.0123, FDE_c: 0.6903±0.2734, FDE_d: 0.1935±0.0114
Experiment 16: ADE_a: 0.0650±0.0055, ADE_b: 0.0796±0.0075, ADE_c: 0.1659±0.0467, ADE_c: 0.0741±0.0050, FDE_a: 0.1696±0.0140, FDE_b: 0.1964±0.0128, FDE_c: 0.6754±0.2564, FDE_d: 0.1939±0.0121
Experiment 17: ADE_a: 0.0643±0.0060, ADE_b: 0.0791±0.0087, ADE_c: 0.1612±0.0453, ADE_c: 0.0735±0.0062, FDE_a: 0.1662±0.0136, FDE_b: 0.1940±0.0148, FDE_c: 0.6568±0.2513, FDE_d: 0.1917±0.0140
Experiment 18: ADE_a: 0.0654±0.0054, ADE_b: 0.0802±0.0090, ADE_c: 0.1572±0.0441, ADE_c: 0.0744±0.0050, FDE_a: 0.1688±0.0115, FDE_b: 0.1955±0.0115, FDE_c: 0.6342±0.2395, FDE_d: 0.1933±0.0117
Experiment 19: ADE_a: 0.0648±0.0057, ADE_b: 0.0795±0.0088, ADE_c: 0.1539±0.0406, ADE_c: 0.0745±0.0058, FDE_a: 0.1697±0.0131, FDE_b: 0.1947±0.0145, FDE_c: 0.6192±0.2263, FDE_d: 0.1940±0.0134
Experiment 20: ADE_a: 0.0645±0.0044, ADE_b: 0.0787±0.0081, ADE_c: 0.1501±0.0408, ADE_c: 0.0737±0.0053, FDE_a: 0.1714±0.0094, FDE_b: 0.1952±0.0147, FDE_c: 0.6012±0.2233, FDE_d: 0.1934±0.0131
Experiment 21: ADE_a: 0.0650±0.0056, ADE_b: 0.0789±0.0072, ADE_c: 0.1466±0.0376, ADE_c: 0.0743±0.0056, FDE_a: 0.1709±0.0127, FDE_b: 0.1950±0.0121, FDE_c: 0.5842±0.2088, FDE_d: 0.1935±0.0125
Experiment 22: ADE_a: 0.0633±0.0054, ADE_b: 0.0787±0.0086, ADE_c: 0.1452±0.0382, ADE_c: 0.0738±0.0065, FDE_a: 0.1680±0.0126, FDE_b: 0.1952±0.0166, FDE_c: 0.5743±0.2065, FDE_d: 0.1932±0.0159
Experiment 23: ADE_a: 0.0638±0.0047, ADE_b: 0.0774±0.0053, ADE_c: 0.1418±0.0355, ADE_c: 0.0734±0.0048, FDE_a: 0.1697±0.0107, FDE_b: 0.1935±0.0110, FDE_c: 0.5593±0.2002, FDE_d: 0.1920±0.0120
Experiment 24: ADE_a: 0.0632±0.0045, ADE_b: 0.0770±0.0065, ADE_c: 0.1401±0.0322, ADE_c: 0.0731±0.0051, FDE_a: 0.1697±0.0098, FDE_b: 0.1942±0.0133, FDE_c: 0.5475±0.1883, FDE_d: 0.1927±0.0122
Experiment 25: ADE_a: 0.0640±0.0046, ADE_b: 0.0776±0.0059, ADE_c: 0.1387±0.0306, ADE_c: 0.0745±0.0054, FDE_a: 0.1683±0.0116, FDE_b: 0.1949±0.0134, FDE_c: 0.5346±0.1781, FDE_d: 0.1933±0.0133
