Results for prediction length: 25
Experiment 01: ADE_a: 0.0895±0.0189, ADE_b: 0.1507±0.0743, ADE_c: 0.1839±0.0561, ADE_c: 0.0863±0.0107, FDE_a: 0.2505±0.0761, FDE_b: 0.2296±0.0219, FDE_c: 0.7221±0.2634, FDE_d: 0.2243±0.0243
Experiment 02: ADE_a: 0.0816±0.0131, ADE_b: 0.1271±0.0507, ADE_c: 0.1856±0.0577, ADE_c: 0.0791±0.0044, FDE_a: 0.2275±0.0457, FDE_b: 0.2051±0.0117, FDE_c: 0.7482±0.2757, FDE_d: 0.2059±0.0096
Experiment 03: ADE_a: 0.0791±0.0087, ADE_b: 0.1170±0.0373, ADE_c: 0.1908±0.0625, ADE_c: 0.0779±0.0049, FDE_a: 0.2148±0.0297, FDE_b: 0.2058±0.0114, FDE_c: 0.7746±0.2942, FDE_d: 0.2049±0.0086
Experiment 04: ADE_a: 0.0749±0.0109, ADE_b: 0.1069±0.0320, ADE_c: 0.1892±0.0652, ADE_c: 0.0765±0.0055, FDE_a: 0.1967±0.0289, FDE_b: 0.2047±0.0110, FDE_c: 0.7754±0.3020, FDE_d: 0.2022±0.0133
Experiment 05: ADE_a: 0.0736±0.0092, ADE_b: 0.1038±0.0333, ADE_c: 0.1852±0.0609, ADE_c: 0.0765±0.0057, FDE_a: 0.1952±0.0225, FDE_b: 0.2041±0.0144, FDE_c: 0.7651±0.2948, FDE_d: 0.2029±0.0136
Experiment 06: ADE_a: 0.0750±0.0096, ADE_b: 0.0997±0.0257, ADE_c: 0.1864±0.0609, ADE_c: 0.0772±0.0022, FDE_a: 0.1964±0.0269, FDE_b: 0.2033±0.0041, FDE_c: 0.7696±0.2980, FDE_d: 0.2007±0.0065
Experiment 07: ADE_a: 0.0730±0.0099, ADE_b: 0.0956±0.0243, ADE_c: 0.1844±0.0601, ADE_c: 0.0748±0.0055, FDE_a: 0.1907±0.0283, FDE_b: 0.1976±0.0133, FDE_c: 0.7665±0.2925, FDE_d: 0.1959±0.0139
Experiment 08: ADE_a: 0.0709±0.0092, ADE_b: 0.0931±0.0215, ADE_c: 0.1851±0.0596, ADE_c: 0.0748±0.0055, FDE_a: 0.1876±0.0259, FDE_b: 0.1978±0.0122, FDE_c: 0.7775±0.2913, FDE_d: 0.1958±0.0131
Experiment 09: ADE_a: 0.0727±0.0109, ADE_b: 0.0908±0.0196, ADE_c: 0.1852±0.0613, ADE_c: 0.0756±0.0065, FDE_a: 0.1913±0.0279, FDE_b: 0.1981±0.0153, FDE_c: 0.7780±0.3006, FDE_d: 0.1976±0.0157
Experiment 10: ADE_a: 0.0711±0.0094, ADE_b: 0.0895±0.0168, ADE_c: 0.1875±0.0627, ADE_c: 0.0754±0.0050, FDE_a: 0.1871±0.0235, FDE_b: 0.1974±0.0118, FDE_c: 0.7732±0.2922, FDE_d: 0.1968±0.0131
Experiment 11: ADE_a: 0.0688±0.0089, ADE_b: 0.0869±0.0167, ADE_c: 0.1878±0.0646, ADE_c: 0.0745±0.0062, FDE_a: 0.1822±0.0215, FDE_b: 0.1960±0.0153, FDE_c: 0.7924±0.3077, FDE_d: 0.1950±0.0147
Experiment 12: ADE_a: 0.0689±0.0079, ADE_b: 0.0858±0.0118, ADE_c: 0.1956±0.0712, ADE_c: 0.0753±0.0039, FDE_a: 0.1814±0.0168, FDE_b: 0.1987±0.0099, FDE_c: 0.7887±0.3025, FDE_d: 0.1984±0.0091
Experiment 13: ADE_a: 0.0666±0.0078, ADE_b: 0.0817±0.0101, ADE_c: 0.1849±0.0607, ADE_c: 0.0737±0.0057, FDE_a: 0.1742±0.0165, FDE_b: 0.1949±0.0141, FDE_c: 0.7781±0.2923, FDE_d: 0.1938±0.0141
Experiment 14: ADE_a: 0.0679±0.0078, ADE_b: 0.0808±0.0081, ADE_c: 0.1844±0.0584, ADE_c: 0.0743±0.0054, FDE_a: 0.1758±0.0170, FDE_b: 0.1943±0.0126, FDE_c: 0.7816±0.2767, FDE_d: 0.1942±0.0135
Experiment 15: ADE_a: 0.0666±0.0057, ADE_b: 0.0804±0.0059, ADE_c: 0.1895±0.0652, ADE_c: 0.0743±0.0049, FDE_a: 0.1746±0.0130, FDE_b: 0.1956±0.0133, FDE_c: 0.7852±0.2852, FDE_d: 0.1944±0.0128
Experiment 16: ADE_a: 0.0654±0.0062, ADE_b: 0.0786±0.0074, ADE_c: 0.3577±0.3838, ADE_c: 0.0739±0.0062, FDE_a: 0.1729±0.0147, FDE_b: 0.1962±0.0160, FDE_c: 0.7589±0.2820, FDE_d: 0.1950±0.0159
Experiment 17: ADE_a: 0.0641±0.0065, ADE_b: 0.0776±0.0059, ADE_c: 0.5273±0.7288, ADE_c: 0.0731±0.0055, FDE_a: 0.1698±0.0151, FDE_b: 0.1936±0.0127, FDE_c: 0.8794±0.4619, FDE_d: 0.1922±0.0128
Experiment 18: ADE_a: 0.0637±0.0064, ADE_b: 0.0768±0.0059, ADE_c: 0.3023±0.2824, ADE_c: 0.0727±0.0054, FDE_a: 0.1680±0.0139, FDE_b: 0.1929±0.0131, FDE_c: 0.9006±0.4663, FDE_d: 0.1918±0.0134
Experiment 19: ADE_a: 0.0641±0.0065, ADE_b: 0.0771±0.0063, ADE_c: 0.1844±0.0789, ADE_c: 0.0731±0.0058, FDE_a: 0.1697±0.0155, FDE_b: 0.1940±0.0136, FDE_c: 0.7537±0.3414, FDE_d: 0.1936±0.0134
Experiment 20: ADE_a: 0.0628±0.0057, ADE_b: 0.0764±0.0055, ADE_c: 0.2512±0.2108, ADE_c: 0.0722±0.0046, FDE_a: 0.1666±0.0137, FDE_b: 0.1929±0.0125, FDE_c: 2.4041±3.5971, FDE_d: 0.1912±0.0118
Experiment 21: ADE_a: 0.0644±0.0083, ADE_b: 0.0760±0.0076, ADE_c: 0.1690±0.0603, ADE_c: 0.0731±0.0071, FDE_a: 0.1721±0.0173, FDE_b: 0.1932±0.0160, FDE_c: 0.6865±0.2751, FDE_d: 0.1931±0.0159
Experiment 22: ADE_a: 0.0632±0.0066, ADE_b: 0.0749±0.0064, ADE_c: 0.1522±0.0425, ADE_c: 0.0719±0.0058, FDE_a: 0.1687±0.0151, FDE_b: 0.1914±0.0140, FDE_c: 0.6313±0.2283, FDE_d: 0.1913±0.0137
Experiment 23: ADE_a: 0.0618±0.0055, ADE_b: 0.0744±0.0055, ADE_c: 0.1531±0.0431, ADE_c: 0.0714±0.0055, FDE_a: 0.1650±0.0133, FDE_b: 0.1903±0.0133, FDE_c: 0.6506±0.2493, FDE_d: 0.1899±0.0133
Experiment 24: ADE_a: 0.0630±0.0060, ADE_b: 0.0755±0.0075, ADE_c: 0.1527±0.0406, ADE_c: 0.0721±0.0068, FDE_a: 0.1701±0.0157, FDE_b: 0.1938±0.0182, FDE_c: 0.6097±0.1997, FDE_d: 0.1934±0.0177
Experiment 25: ADE_a: 0.0621±0.0051, ADE_b: 0.0740±0.0049, ADE_c: 0.1441±0.0350, ADE_c: 0.0711±0.0047, FDE_a: 0.1681±0.0120, FDE_b: 0.1913±0.0113, FDE_c: 0.5814±0.1846, FDE_d: 0.1909±0.0109
