Results for prediction length: 25
Experiment 01: ADE_a: 0.0858±0.0069, ADE_b: 0.1241±0.0707, ADE_c: 0.2559±0.1065, ADE_c: 0.0803±0.0053, FDE_a: 0.2186±0.0326, FDE_b: 0.2085±0.0126, FDE_c: 1.0008±0.4052, FDE_d: 0.2079±0.0134
Experiment 02: ADE_a: 0.0803±0.0082, ADE_b: 0.1087±0.0480, ADE_c: 0.2550±0.1156, ADE_c: 0.0787±0.0078, FDE_a: 0.2105±0.0310, FDE_b: 0.2068±0.0190, FDE_c: 1.0079±0.4312, FDE_d: 0.2065±0.0190
Experiment 03: ADE_a: 0.0790±0.0056, ADE_b: 0.0989±0.0311, ADE_c: 0.2538±0.1211, ADE_c: 0.0771±0.0030, FDE_a: 0.2033±0.0254, FDE_b: 0.2005±0.0106, FDE_c: 1.0096±0.4571, FDE_d: 0.1993±0.0109
Experiment 04: ADE_a: 0.0762±0.0068, ADE_b: 0.0948±0.0251, ADE_c: 0.2520±0.1254, ADE_c: 0.0763±0.0071, FDE_a: 0.1958±0.0271, FDE_b: 0.1996±0.0171, FDE_c: 1.0022±0.4760, FDE_d: 0.1977±0.0158
Experiment 05: ADE_a: 0.0730±0.0064, ADE_b: 0.0881±0.0187, ADE_c: 0.2439±0.1172, ADE_c: 0.0759±0.0064, FDE_a: 0.1907±0.0187, FDE_b: 0.2001±0.0157, FDE_c: 0.9873±0.4644, FDE_d: 0.1980±0.0143
Experiment 06: ADE_a: 0.0733±0.0071, ADE_b: 0.0853±0.0137, ADE_c: 0.2455±0.1138, ADE_c: 0.0773±0.0062, FDE_a: 0.1885±0.0212, FDE_b: 0.2010±0.0152, FDE_c: 0.9917±0.4610, FDE_d: 0.2009±0.0152
Experiment 07: ADE_a: 0.0703±0.0053, ADE_b: 0.0822±0.0121, ADE_c: 0.2416±0.1133, ADE_c: 0.0749±0.0061, FDE_a: 0.1797±0.0150, FDE_b: 0.1964±0.0152, FDE_c: 0.9781±0.4598, FDE_d: 0.1943±0.0147
Experiment 08: ADE_a: 0.0691±0.0065, ADE_b: 0.0805±0.0087, ADE_c: 0.2356±0.1109, ADE_c: 0.0749±0.0064, FDE_a: 0.1822±0.0166, FDE_b: 0.1982±0.0159, FDE_c: 0.9621±0.4552, FDE_d: 0.1967±0.0150
Experiment 09: ADE_a: 0.0676±0.0043, ADE_b: 0.0791±0.0065, ADE_c: 0.2339±0.1093, ADE_c: 0.0743±0.0050, FDE_a: 0.1737±0.0121, FDE_b: 0.1957±0.0130, FDE_c: 0.9590±0.4540, FDE_d: 0.1935±0.0121
Experiment 10: ADE_a: 0.0678±0.0055, ADE_b: 0.0790±0.0071, ADE_c: 0.2321±0.1070, ADE_c: 0.0754±0.0064, FDE_a: 0.1760±0.0128, FDE_b: 0.1976±0.0151, FDE_c: 0.9494±0.4488, FDE_d: 0.1954±0.0144
Experiment 11: ADE_a: 0.0672±0.0048, ADE_b: 0.0782±0.0063, ADE_c: 0.2260±0.1039, ADE_c: 0.0742±0.0052, FDE_a: 0.1733±0.0147, FDE_b: 0.1945±0.0140, FDE_c: 0.9293±0.4400, FDE_d: 0.1930±0.0131
