Results for prediction length: 25
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_39.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_40.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_41.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_42.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_43.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_44.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_45.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_46.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_47.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_48.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_anticip_25_multimodal_gmm_split_1_49.model_perf.txt
Experiment 01: ADE_a: 0.0976±0.0137, ADE_b: 0.1156±0.0139, ADE_c: 0.1701±0.0257, ADE_c: 0.1019±0.0110, FDE_a: 0.2189±0.0213, FDE_b: 0.2436±0.0250, FDE_c: 0.5536±0.1228, FDE_d: 0.2399±0.0225
Experiment 02: ADE_a: 0.0869±0.0110, ADE_b: 0.1039±0.0126, ADE_c: 0.1602±0.0221, ADE_c: 0.0922±0.0091, FDE_a: 0.2090±0.0283, FDE_b: 0.2296±0.0202, FDE_c: 0.5601±0.1051, FDE_d: 0.2288±0.0209
Experiment 03: ADE_a: 0.0827±0.0079, ADE_b: 0.0992±0.0113, ADE_c: 0.1639±0.0292, ADE_c: 0.0893±0.0096, FDE_a: 0.1932±0.0111, FDE_b: 0.2208±0.0206, FDE_c: 0.5850±0.1311, FDE_d: 0.2196±0.0209
Experiment 04: ADE_a: 0.0798±0.0084, ADE_b: 0.0966±0.0123, ADE_c: 0.1602±0.0338, ADE_c: 0.0878±0.0087, FDE_a: 0.1920±0.0210, FDE_b: 0.2191±0.0177, FDE_c: 0.5851±0.1393, FDE_d: 0.2160±0.0189
Experiment 05: ADE_a: 0.0780±0.0038, ADE_b: 0.0958±0.0122, ADE_c: 0.1635±0.0331, ADE_c: 0.0863±0.0051, FDE_a: 0.1915±0.0150, FDE_b: 0.2153±0.0159, FDE_c: 0.6072±0.1500, FDE_d: 0.2134±0.0139
Experiment 06: ADE_a: 0.0763±0.0061, ADE_b: 0.0939±0.0143, ADE_c: 0.1564±0.0354, ADE_c: 0.0849±0.0081, FDE_a: 0.1890±0.0120, FDE_b: 0.2156±0.0182, FDE_c: 0.5805±0.1687, FDE_d: 0.2113±0.0159
Experiment 07: ADE_a: 0.0722±0.0045, ADE_b: 0.0913±0.0127, ADE_c: 0.1576±0.0425, ADE_c: 0.0824±0.0061, FDE_a: 0.1849±0.0093, FDE_b: 0.2136±0.0114, FDE_c: 0.6007±0.2063, FDE_d: 0.2115±0.0104
Experiment 08: ADE_a: 0.0705±0.0048, ADE_b: 0.0895±0.0117, ADE_c: 0.1519±0.0331, ADE_c: 0.0823±0.0050, FDE_a: 0.1794±0.0177, FDE_b: 0.2117±0.0129, FDE_c: 0.5912±0.1844, FDE_d: 0.2079±0.0116
Experiment 09: ADE_a: 0.0733±0.0044, ADE_b: 0.0943±0.0155, ADE_c: 0.1581±0.0360, ADE_c: 0.0873±0.0082, FDE_a: 0.1854±0.0127, FDE_b: 0.2220±0.0128, FDE_c: 0.5946±0.1801, FDE_d: 0.2178±0.0110
Experiment 10: ADE_a: 0.0665±0.0063, ADE_b: 0.0842±0.0137, ADE_c: 0.1505±0.0364, ADE_c: 0.0779±0.0077, FDE_a: 0.1718±0.0173, FDE_b: 0.2050±0.0202, FDE_c: 0.5858±0.2078, FDE_d: 0.2017±0.0179
Experiment 11: ADE_a: 0.0675±0.0049, ADE_b: 0.0839±0.0089, ADE_c: 0.1489±0.0320, ADE_c: 0.0790±0.0071, FDE_a: 0.1760±0.0161, FDE_b: 0.2068±0.0175, FDE_c: 0.5914±0.2123, FDE_d: 0.2033±0.0142
