Results for prediction length: 25
Experiment 01: ADE_a: 0.1097±0.0124, ADE_b: 0.1351±0.0253, ADE_c: 0.2005±0.0327, ADE_c: 0.0963±0.0079, FDE_a: 0.2687±0.0501, FDE_b: 0.2320±0.0173, FDE_c: 0.7410±0.1614, FDE_d: 0.2319±0.0168
Experiment 02: ADE_a: 0.1071±0.0122, ADE_b: 0.1247±0.0205, ADE_c: 0.2101±0.0396, ADE_c: 0.0934±0.0072, FDE_a: 0.2551±0.0435, FDE_b: 0.2279±0.0166, FDE_c: 0.7953±0.1910, FDE_d: 0.2281±0.0170
Experiment 03: ADE_a: 0.1013±0.0127, ADE_b: 0.1186±0.0190, ADE_c: 0.2093±0.0428, ADE_c: 0.0907±0.0095, FDE_a: 0.2458±0.0335, FDE_b: 0.2238±0.0210, FDE_c: 0.8092±0.2096, FDE_d: 0.2231±0.0207
Experiment 04: ADE_a: 0.1001±0.0151, ADE_b: 0.1121±0.0198, ADE_c: 0.2187±0.0471, ADE_c: 0.0879±0.0054, FDE_a: 0.2420±0.0410, FDE_b: 0.2203±0.0126, FDE_c: 0.8632±0.2162, FDE_d: 0.2180±0.0145
Experiment 05: ADE_a: 0.0919±0.0108, ADE_b: 0.1074±0.0190, ADE_c: 0.2145±0.0417, ADE_c: 0.0849±0.0067, FDE_a: 0.2337±0.0357, FDE_b: 0.2106±0.0145, FDE_c: 0.8698±0.2071, FDE_d: 0.2102±0.0147
Experiment 06: ADE_a: 0.0968±0.0134, ADE_b: 0.1141±0.0151, ADE_c: 0.2174±0.0505, ADE_c: 0.0929±0.0186, FDE_a: 0.2421±0.0418, FDE_b: 0.2261±0.0338, FDE_c: 0.8763±0.2294, FDE_d: 0.2249±0.0332
Experiment 07: ADE_a: 0.0907±0.0084, ADE_b: 0.1032±0.0136, ADE_c: 0.2210±0.0493, ADE_c: 0.0834±0.0057, FDE_a: 0.2323±0.0291, FDE_b: 0.2091±0.0144, FDE_c: 0.9007±0.2398, FDE_d: 0.2070±0.0158
Experiment 08: ADE_a: 0.0908±0.0077, ADE_b: 0.1025±0.0107, ADE_c: 0.2248±0.0432, ADE_c: 0.0855±0.0106, FDE_a: 0.2292±0.0204, FDE_b: 0.2143±0.0230, FDE_c: 0.9187±0.2251, FDE_d: 0.2125±0.0221
Experiment 09: ADE_a: 0.0861±0.0078, ADE_b: 0.0973±0.0118, ADE_c: 0.2200±0.0487, ADE_c: 0.0811±0.0050, FDE_a: 0.2194±0.0231, FDE_b: 0.2039±0.0104, FDE_c: 0.9063±0.2426, FDE_d: 0.2037±0.0101
Experiment 10: ADE_a: 0.0842±0.0061, ADE_b: 0.0967±0.0088, ADE_c: 0.2225±0.0545, ADE_c: 0.0813±0.0053, FDE_a: 0.2038±0.0103, FDE_b: 0.2077±0.0150, FDE_c: 0.9159±0.2611, FDE_d: 0.2040±0.0140
Experiment 11: ADE_a: 0.0812±0.0044, ADE_b: 0.0949±0.0080, ADE_c: 0.2115±0.0476, ADE_c: 0.0810±0.0079, FDE_a: 0.1961±0.0106, FDE_b: 0.2044±0.0148, FDE_c: 0.8803±0.2433, FDE_d: 0.2021±0.0162
Experiment 12: ADE_a: 0.0821±0.0050, ADE_b: 0.0942±0.0054, ADE_c: 0.2163±0.0529, ADE_c: 0.0818±0.0106, FDE_a: 0.2048±0.0091, FDE_b: 0.2061±0.0212, FDE_c: 0.8977±0.2542, FDE_d: 0.2042±0.0206
Experiment 13: ADE_a: 0.0786±0.0048, ADE_b: 0.0914±0.0077, ADE_c: 0.2163±0.0558, ADE_c: 0.0802±0.0106, FDE_a: 0.1974±0.0090, FDE_b: 0.2013±0.0190, FDE_c: 0.9014±0.2640, FDE_d: 0.2018±0.0213
Experiment 14: ADE_a: 0.0785±0.0074, ADE_b: 0.0912±0.0076, ADE_c: 0.2153±0.0541, ADE_c: 0.0794±0.0079, FDE_a: 0.2014±0.0166, FDE_b: 0.2054±0.0205, FDE_c: 0.9038±0.2610, FDE_d: 0.2031±0.0188
Experiment 15: ADE_a: 0.0749±0.0022, ADE_b: 0.0863±0.0059, ADE_c: 0.2105±0.0511, ADE_c: 0.0757±0.0054, FDE_a: 0.1935±0.0064, FDE_b: 0.1961±0.0130, FDE_c: 0.8944±0.2475, FDE_d: 0.1953±0.0130
Experiment 16: ADE_a: 0.0836±0.0167, ADE_b: 0.0990±0.0235, ADE_c: 0.3321±0.2683, ADE_c: 0.0799±0.0078, FDE_a: 0.2040±0.0381, FDE_b: 0.2014±0.0180, FDE_c: 1.0589±0.5155, FDE_d: 0.2004±0.0175
Experiment 17: ADE_a: 0.0758±0.0059, ADE_b: 0.0923±0.0153, ADE_c: 0.3495±0.3147, ADE_c: 0.0772±0.0086, FDE_a: 0.1946±0.0106, FDE_b: 0.1991±0.0176, FDE_c: 1.0722±0.5794, FDE_d: 0.1977±0.0179
