Results for prediction length: 25
File not found: ../data/4_models/gatsbi_abl_phy_star_25_multimodal_gmm_split_3_48.model_perf.txt
Experiment 01: ADE_a: 0.0940±0.0057, ADE_b: 0.1220±0.0108, ADE_c: 0.1939±0.0543, ADE_c: 0.0959±0.0070, FDE_a: 0.2265±0.0118, FDE_b: 0.2343±0.0155, FDE_c: 0.6973±0.2464, FDE_d: 0.2318±0.0165
Experiment 02: ADE_a: 0.0909±0.0112, ADE_b: 0.1179±0.0120, ADE_c: 0.2024±0.0561, ADE_c: 0.0945±0.0067, FDE_a: 0.2215±0.0142, FDE_b: 0.2306±0.0157, FDE_c: 0.7361±0.2526, FDE_d: 0.2308±0.0160
Experiment 03: ADE_a: 0.0889±0.0090, ADE_b: 0.1126±0.0088, ADE_c: 0.1985±0.0512, ADE_c: 0.0936±0.0073, FDE_a: 0.2130±0.0151, FDE_b: 0.2262±0.0156, FDE_c: 0.7353±0.2453, FDE_d: 0.2257±0.0157
Experiment 04: ADE_a: 0.0866±0.0076, ADE_b: 0.1058±0.0060, ADE_c: 0.1940±0.0574, ADE_c: 0.0914±0.0067, FDE_a: 0.2087±0.0166, FDE_b: 0.2242±0.0173, FDE_c: 0.7334±0.2608, FDE_d: 0.2225±0.0175
Experiment 05: ADE_a: 0.0830±0.0070, ADE_b: 0.1026±0.0080, ADE_c: 0.1951±0.0512, ADE_c: 0.0897±0.0047, FDE_a: 0.1980±0.0123, FDE_b: 0.2229±0.0117, FDE_c: 0.7431±0.2505, FDE_d: 0.2209±0.0124
Experiment 06: ADE_a: 0.0786±0.0079, ADE_b: 0.0927±0.0041, ADE_c: 0.1898±0.0518, ADE_c: 0.0850±0.0077, FDE_a: 0.1906±0.0175, FDE_b: 0.2132±0.0162, FDE_c: 0.7367±0.2445, FDE_d: 0.2118±0.0165
Experiment 07: ADE_a: 0.0768±0.0074, ADE_b: 0.0914±0.0056, ADE_c: 0.1865±0.0457, ADE_c: 0.0830±0.0073, FDE_a: 0.1904±0.0138, FDE_b: 0.2143±0.0155, FDE_c: 0.7338±0.2293, FDE_d: 0.2108±0.0166
Experiment 08: ADE_a: 0.0754±0.0071, ADE_b: 0.0895±0.0044, ADE_c: 0.1828±0.0489, ADE_c: 0.0833±0.0073, FDE_a: 0.1817±0.0146, FDE_b: 0.2118±0.0155, FDE_c: 0.7174±0.2418, FDE_d: 0.2100±0.0160
Experiment 09: ADE_a: 0.0720±0.0059, ADE_b: 0.0854±0.0088, ADE_c: 0.1781±0.0501, ADE_c: 0.0797±0.0072, FDE_a: 0.1769±0.0137, FDE_b: 0.2058±0.0191, FDE_c: 0.7027±0.2397, FDE_d: 0.2038±0.0165
Experiment 10: ADE_a: 0.0742±0.0066, ADE_b: 0.0858±0.0092, ADE_c: 0.1797±0.0473, ADE_c: 0.0810±0.0077, FDE_a: 0.1831±0.0154, FDE_b: 0.2096±0.0204, FDE_c: 0.6991±0.2405, FDE_d: 0.2076±0.0175
Experiment 11: ADE_a: 0.0742±0.0105, ADE_b: 0.0848±0.0098, ADE_c: 0.1755±0.0460, ADE_c: 0.0820±0.0105, FDE_a: 0.1826±0.0190, FDE_b: 0.2067±0.0178, FDE_c: 0.6824±0.2229, FDE_d: 0.2065±0.0185
Experiment 12: ADE_a: 0.0918±0.0477, ADE_b: 0.1104±0.0631, ADE_c: 0.1973±0.0673, ADE_c: 0.0892±0.0276, FDE_a: 0.2470±0.1459, FDE_b: 0.2342±0.0707, FDE_c: 0.7176±0.2369, FDE_d: 0.2377±0.0820
Experiment 13: ADE_a: 0.0937±0.0522, ADE_b: 0.1025±0.0490, ADE_c: 0.3148±0.2995, ADE_c: 0.0966±0.0438, FDE_a: 0.2488±0.1475, FDE_b: 0.2668±0.1404, FDE_c: 0.9961±0.7081, FDE_d: 0.2646±0.1375
Experiment 14: ADE_a: 0.0810±0.0252, ADE_b: 0.0922±0.0225, ADE_c: 0.2760±0.2168, ADE_c: 0.0867±0.0183, FDE_a: 0.1909±0.0330, FDE_b: 0.2178±0.0303, FDE_c: 0.8799±0.6075, FDE_d: 0.2157±0.0305
Experiment 15: ADE_a: 0.0758±0.0252, ADE_b: 0.0882±0.0218, ADE_c: 0.3409±0.3654, ADE_c: 0.0846±0.0209, FDE_a: 0.1999±0.0690, FDE_b: 0.2280±0.0605, FDE_c: 0.9847±0.8450, FDE_d: 0.2263±0.0611
Experiment 16: ADE_a: 0.0749±0.0171, ADE_b: 0.0883±0.0138, ADE_c: 0.3200±0.3225, ADE_c: 0.0827±0.0129, FDE_a: 0.1841±0.0328, FDE_b: 0.2154±0.0285, FDE_c: 0.9618±0.8070, FDE_d: 0.2118±0.0281
Experiment 17: ADE_a: 0.0841±0.0309, ADE_b: 0.0946±0.0268, ADE_c: 0.7316±0.8666, ADE_c: 0.0851±0.0192, FDE_a: 0.2066±0.0610, FDE_b: 0.2246±0.0509, FDE_c: 1.9908±2.2236, FDE_d: 0.2241±0.0514
Experiment 18: ADE_a: 0.0832±0.0220, ADE_b: 0.0913±0.0193, ADE_c: 0.7115±0.8200, ADE_c: 0.0827±0.0145, FDE_a: 0.2000±0.0396, FDE_b: 0.2147±0.0295, FDE_c: 2.0102±2.2569, FDE_d: 0.2135±0.0302
Experiment 19: ADE_a: 0.0784±0.0180, ADE_b: 0.0920±0.0186, ADE_c: 0.6599±0.7410, ADE_c: 0.0822±0.0125, FDE_a: 0.1842±0.0279, FDE_b: 0.2108±0.0227, FDE_c: 1.7116±1.7382, FDE_d: 0.2092±0.0227
Experiment 20: ADE_a: 0.0777±0.0176, ADE_b: 0.0916±0.0202, ADE_c: 0.6124±0.6541, ADE_c: 0.0805±0.0130, FDE_a: 0.1916±0.0398, FDE_b: 0.2102±0.0285, FDE_c: 1.4954±1.3014, FDE_d: 0.2088±0.0296
Experiment 21: ADE_a: 0.0790±0.0179, ADE_b: 0.0896±0.0177, ADE_c: 0.3145±0.2588, ADE_c: 0.0841±0.0153, FDE_a: 0.1975±0.0393, FDE_b: 0.2159±0.0312, FDE_c: 0.8975±0.6965, FDE_d: 0.2149±0.0326
Experiment 22: ADE_a: 0.0789±0.0222, ADE_b: 0.0928±0.0217, ADE_c: 0.3332±0.2568, ADE_c: 0.0841±0.0164, FDE_a: 0.1869±0.0394, FDE_b: 0.2136±0.0313, FDE_c: 1.0368±0.7324, FDE_d: 0.2124±0.0316
Experiment 23: ADE_a: 0.0771±0.0218, ADE_b: 0.0901±0.0206, ADE_c: 0.1922±0.1214, ADE_c: 0.0813±0.0156, FDE_a: 0.1922±0.0449, FDE_b: 0.2109±0.0304, FDE_c: 0.6431±0.4345, FDE_d: 0.2088±0.0326
Experiment 24: ADE_a: 0.0697±0.0131, ADE_b: 0.0820±0.0128, ADE_c: 0.1739±0.0960, ADE_c: 0.0773±0.0110, FDE_a: 0.1715±0.0235, FDE_b: 0.2019±0.0208, FDE_c: 0.5907±0.3695, FDE_d: 0.1995±0.0215
Experiment 25: ADE_a: 0.0673±0.0113, ADE_b: 0.0797±0.0121, ADE_c: 0.1641±0.0881, ADE_c: 0.0753±0.0099, FDE_a: 0.1686±0.0184, FDE_b: 0.1988±0.0207, FDE_c: 0.5642±0.3549, FDE_d: 0.1974±0.0204
Experiment 26: ADE_a: 0.0667±0.0108, ADE_b: 0.0802±0.0115, ADE_c: 0.1621±0.0805, ADE_c: 0.0745±0.0091, FDE_a: 0.1693±0.0233, FDE_b: 0.1985±0.0183, FDE_c: 0.5620±0.3406, FDE_d: 0.1959±0.0195
Experiment 27: ADE_a: 0.0655±0.0100, ADE_b: 0.0783±0.0106, ADE_c: 0.1552±0.0710, ADE_c: 0.0738±0.0085, FDE_a: 0.1681±0.0210, FDE_b: 0.1962±0.0175, FDE_c: 0.5366±0.3084, FDE_d: 0.1941±0.0178
Experiment 28: ADE_a: 0.0642±0.0099, ADE_b: 0.0776±0.0117, ADE_c: 0.1527±0.0645, ADE_c: 0.0736±0.0096, FDE_a: 0.1670±0.0192, FDE_b: 0.1955±0.0186, FDE_c: 0.5305±0.2853, FDE_d: 0.1939±0.0186
Experiment 29: ADE_a: 0.0633±0.0084, ADE_b: 0.0774±0.0093, ADE_c: 0.1476±0.0548, ADE_c: 0.0722±0.0075, FDE_a: 0.1675±0.0154, FDE_b: 0.1952±0.0144, FDE_c: 0.5072±0.2512, FDE_d: 0.1925±0.0143
Experiment 30: ADE_a: 0.1085±0.0953, ADE_b: 0.1280±0.1045, ADE_c: 0.2778±0.2007, ADE_c: 0.1225±0.1033, FDE_a: 0.2729±0.2256, FDE_b: 0.2969±0.2096, FDE_c: 0.6966±0.3111, FDE_d: 0.2939±0.2094
Experiment 31: ADE_a: 0.0660±0.0157, ADE_b: 0.0798±0.0153, ADE_c: 0.1802±0.0755, ADE_c: 0.0748±0.0138, FDE_a: 0.1658±0.0265, FDE_b: 0.1988±0.0276, FDE_c: 0.5795±0.2134, FDE_d: 0.1968±0.0272
Experiment 32: ADE_a: 0.0775±0.0259, ADE_b: 0.0935±0.0304, ADE_c: 0.1595±0.0402, ADE_c: 0.0864±0.0244, FDE_a: 0.1983±0.0587, FDE_b: 0.2213±0.0442, FDE_c: 0.5194±0.1877, FDE_d: 0.2179±0.0446
Experiment 33: ADE_a: 0.0737±0.0175, ADE_b: 0.0889±0.0201, ADE_c: 0.1608±0.0490, ADE_c: 0.0850±0.0175, FDE_a: 0.1878±0.0389, FDE_b: 0.2163±0.0345, FDE_c: 0.5578±0.2466, FDE_d: 0.2148±0.0346
Experiment 34: ADE_a: 0.0689±0.0136, ADE_b: 0.0840±0.0165, ADE_c: 0.5228±0.7578, ADE_c: 0.0798±0.0151, FDE_a: 0.1764±0.0269, FDE_b: 0.2112±0.0341, FDE_c: 1.0018±1.0833, FDE_d: 0.2069±0.0312
Experiment 35: ADE_a: 0.0662±0.0119, ADE_b: 0.0785±0.0117, ADE_c: 0.1688±0.0755, ADE_c: 0.0751±0.0111, FDE_a: 0.1707±0.0240, FDE_b: 0.1991±0.0219, FDE_c: 0.5565±0.3001, FDE_d: 0.1978±0.0230
Experiment 36: ADE_a: 0.0638±0.0113, ADE_b: 0.0772±0.0120, ADE_c: 0.5007±0.7313, ADE_c: 0.0739±0.0103, FDE_a: 0.1664±0.0234, FDE_b: 0.1969±0.0220, FDE_c: 1.0042±1.1543, FDE_d: 0.1949±0.0213
Experiment 37: ADE_a: 0.0635±0.0105, ADE_b: 0.0789±0.0131, ADE_c: 0.6455±0.9966, ADE_c: 0.0736±0.0103, FDE_a: 0.1659±0.0202, FDE_b: 0.1972±0.0223, FDE_c: 1.0852±1.2466, FDE_d: 0.1943±0.0218
Experiment 38: ADE_a: 0.0642±0.0070, ADE_b: 0.0817±0.0098, ADE_c: 0.1524±0.0410, ADE_c: 0.0753±0.0065, FDE_a: 0.1653±0.0135, FDE_b: 0.2011±0.0147, FDE_c: 0.5106±0.2244, FDE_d: 0.1989±0.0142
Experiment 39: ADE_a: 0.0626±0.0091, ADE_b: 0.0784±0.0128, ADE_c: 0.1346±0.0401, ADE_c: 0.0727±0.0095, FDE_a: 0.1639±0.0177, FDE_b: 0.1964±0.0196, FDE_c: 0.4463±0.1979, FDE_d: 0.1942±0.0195
Experiment 40: ADE_a: 0.0615±0.0093, ADE_b: 0.0754±0.0120, ADE_c: 0.1513±0.0648, ADE_c: 0.0706±0.0090, FDE_a: 0.1630±0.0189, FDE_b: 0.1918±0.0184, FDE_c: 0.4837±0.2655, FDE_d: 0.1898±0.0190
Experiment 41: ADE_a: 0.0609±0.0103, ADE_b: 0.0767±0.0151, ADE_c: 0.1318±0.0384, ADE_c: 0.0711±0.0096, FDE_a: 0.1580±0.0178, FDE_b: 0.1919±0.0194, FDE_c: 0.4286±0.1920, FDE_d: 0.1897±0.0185
Experiment 42: ADE_a: 0.0647±0.0113, ADE_b: 0.0809±0.0150, ADE_c: 0.1777±0.1211, ADE_c: 0.0755±0.0123, FDE_a: 0.1667±0.0238, FDE_b: 0.2004±0.0251, FDE_c: 0.4707±0.2728, FDE_d: 0.1986±0.0241
Experiment 43: ADE_a: 0.0622±0.0088, ADE_b: 0.0800±0.0151, ADE_c: 0.1225±0.0276, ADE_c: 0.0747±0.0104, FDE_a: 0.1607±0.0171, FDE_b: 0.1978±0.0191, FDE_c: 0.3786±0.1405, FDE_d: 0.1957±0.0204
Experiment 44: ADE_a: 0.0604±0.0085, ADE_b: 0.0760±0.0132, ADE_c: 0.1222±0.0283, ADE_c: 0.0704±0.0086, FDE_a: 0.1592±0.0163, FDE_b: 0.1914±0.0185, FDE_c: 0.3793±0.1373, FDE_d: 0.1890±0.0178
Experiment 45: ADE_a: 0.0583±0.0068, ADE_b: 0.0737±0.0111, ADE_c: 0.1172±0.0259, ADE_c: 0.0689±0.0077, FDE_a: 0.1565±0.0141, FDE_b: 0.1883±0.0182, FDE_c: 0.3629±0.1224, FDE_d: 0.1867±0.0175
Experiment 46: ADE_a: 0.0748±0.0339, ADE_b: 0.1065±0.0671, ADE_c: 0.1596±0.1023, ADE_c: 0.0780±0.0218, FDE_a: 0.2113±0.1041, FDE_b: 0.2075±0.0430, FDE_c: 0.4589±0.2679, FDE_d: 0.2100±0.0512
Experiment 47: ADE_a: 0.0657±0.0162, ADE_b: 0.0847±0.0271, ADE_c: 0.2399±0.1882, ADE_c: 0.0753±0.0166, FDE_a: 0.1708±0.0313, FDE_b: 0.1982±0.0289, FDE_c: 0.6189±0.3775, FDE_d: 0.1965±0.0284
Experiment 48: ADE_a: 0.0670±0.0100, ADE_b: 0.0837±0.0154, ADE_c: 0.1724±0.0554, ADE_c: 0.0762±0.0078, FDE_a: 0.1770±0.0157, FDE_b: 0.2022±0.0114, FDE_c: 0.5041±0.1567, FDE_d: 0.2012±0.0119
Experiment 49: ADE_a: 0.0601±0.0098, ADE_b: 0.0769±0.0168, ADE_c: 0.1141±0.0214, ADE_c: 0.0708±0.0106, FDE_a: 0.1593±0.0184, FDE_b: 0.1921±0.0213, FDE_c: 0.3297±0.0986, FDE_d: 0.1900±0.0209

Results for prediction length: 50
File not found: ../data/4_models/gatsbi_abl_phy_star_50_multimodal_gmm_split_2_44.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_star_50_multimodal_gmm_split_2_45.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_star_50_multimodal_gmm_split_2_46.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_star_50_multimodal_gmm_split_2_47.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_star_50_multimodal_gmm_split_2_48.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_star_50_multimodal_gmm_split_2_49.model_perf.txt
File not found: ../data/4_models/gatsbi_abl_phy_star_50_multimodal_gmm_split_4_49.model_perf.txt
Experiment 01: ADE_a: 0.2650±0.0292, ADE_b: 0.3219±0.0481, ADE_c: 0.8783±0.2514, ADE_c: 0.2467±0.0180, FDE_a: 0.5909±0.0577, FDE_b: 0.5661±0.0288, FDE_c: 2.9106±0.7323, FDE_d: 0.5608±0.0355
Experiment 02: ADE_a: 0.2605±0.0195, ADE_b: 0.3120±0.0375, ADE_c: 0.9456±0.2647, ADE_c: 0.2469±0.0216, FDE_a: 0.5725±0.0312, FDE_b: 0.5649±0.0395, FDE_c: 3.1143±0.7511, FDE_d: 0.5615±0.0446
Experiment 03: ADE_a: 0.2477±0.0162, ADE_b: 0.2904±0.0310, ADE_c: 0.9990±0.2812, ADE_c: 0.2371±0.0104, FDE_a: 0.5482±0.0184, FDE_b: 0.5430±0.0247, FDE_c: 3.2762±0.7821, FDE_d: 0.5421±0.0262
Experiment 04: ADE_a: 0.2410±0.0125, ADE_b: 0.2832±0.0177, ADE_c: 1.0617±0.3058, ADE_c: 0.2343±0.0146, FDE_a: 0.5238±0.0100, FDE_b: 0.5395±0.0299, FDE_c: 3.4409±0.8319, FDE_d: 0.5378±0.0311
Experiment 05: ADE_a: 0.2386±0.0128, ADE_b: 0.2813±0.0160, ADE_c: 1.0939±0.3150, ADE_c: 0.2337±0.0179, FDE_a: 0.5232±0.0191, FDE_b: 0.5369±0.0345, FDE_c: 3.5455±0.8478, FDE_d: 0.5359±0.0357
Experiment 06: ADE_a: 0.2358±0.0135, ADE_b: 0.2738±0.0124, ADE_c: 1.1375±0.3069, ADE_c: 0.2311±0.0178, FDE_a: 0.5128±0.0134, FDE_b: 0.5320±0.0399, FDE_c: 3.6778±0.8120, FDE_d: 0.5326±0.0414
Experiment 07: ADE_a: 0.2296±0.0077, ADE_b: 0.2663±0.0074, ADE_c: 1.1628±0.3113, ADE_c: 0.2271±0.0160, FDE_a: 0.4910±0.0216, FDE_b: 0.5294±0.0347, FDE_c: 3.7514±0.8158, FDE_d: 0.5264±0.0362
