Results for prediction length: 25
Experiment 01: ADE_a: 0.0794±0.0054, ADE_b: 0.1117±0.0290, ADE_c: 0.1715±0.0391, ADE_c: 0.0797±0.0049, FDE_a: 0.2137±0.0172, FDE_b: 0.2109±0.0109, FDE_c: 0.6835±0.2099, FDE_d: 0.2108±0.0112
Experiment 02: ADE_a: 0.0769±0.0062, ADE_b: 0.1040±0.0257, ADE_c: 0.1712±0.0369, ADE_c: 0.0802±0.0074, FDE_a: 0.2030±0.0203, FDE_b: 0.2126±0.0218, FDE_c: 0.6888±0.2183, FDE_d: 0.2099±0.0191
Experiment 03: ADE_a: 0.0755±0.0076, ADE_b: 0.1007±0.0249, ADE_c: 0.1673±0.0340, ADE_c: 0.0799±0.0088, FDE_a: 0.2009±0.0236, FDE_b: 0.2146±0.0225, FDE_c: 0.6913±0.2088, FDE_d: 0.2110±0.0212
Experiment 04: ADE_a: 0.0740±0.0056, ADE_b: 0.0917±0.0148, ADE_c: 0.1737±0.0365, ADE_c: 0.0777±0.0048, FDE_a: 0.1973±0.0179, FDE_b: 0.2053±0.0137, FDE_c: 0.7159±0.2106, FDE_d: 0.2030±0.0134
Experiment 05: ADE_a: 0.0726±0.0068, ADE_b: 0.0933±0.0188, ADE_c: 0.1742±0.0338, ADE_c: 0.0789±0.0088, FDE_a: 0.1928±0.0207, FDE_b: 0.2075±0.0207, FDE_c: 0.7227±0.2115, FDE_d: 0.2055±0.0194
Experiment 06: ADE_a: 0.0711±0.0062, ADE_b: 0.0869±0.0111, ADE_c: 0.1753±0.0341, ADE_c: 0.0771±0.0068, FDE_a: 0.1888±0.0171, FDE_b: 0.2044±0.0164, FDE_c: 0.7351±0.2053, FDE_d: 0.2016±0.0155
Experiment 07: ADE_a: 0.0697±0.0050, ADE_b: 0.0854±0.0097, ADE_c: 0.1758±0.0362, ADE_c: 0.0765±0.0057, FDE_a: 0.1854±0.0163, FDE_b: 0.2030±0.0153, FDE_c: 0.7455±0.2070, FDE_d: 0.2010±0.0147
Experiment 08: ADE_a: 0.0699±0.0054, ADE_b: 0.0873±0.0104, ADE_c: 0.1741±0.0387, ADE_c: 0.0784±0.0076, FDE_a: 0.1840±0.0126, FDE_b: 0.2059±0.0191, FDE_c: 0.7403±0.2184, FDE_d: 0.2037±0.0179
Experiment 09: ADE_a: 0.0670±0.0050, ADE_b: 0.0825±0.0086, ADE_c: 0.1765±0.0377, ADE_c: 0.0749±0.0055, FDE_a: 0.1796±0.0147, FDE_b: 0.1991±0.0137, FDE_c: 0.7554±0.2146, FDE_d: 0.1973±0.0134
Experiment 10: ADE_a: 0.0678±0.0061, ADE_b: 0.0838±0.0110, ADE_c: 0.1748±0.0393, ADE_c: 0.0762±0.0072, FDE_a: 0.1833±0.0185, FDE_b: 0.2035±0.0191, FDE_c: 0.7472±0.2256, FDE_d: 0.2017±0.0185
Experiment 11: ADE_a: 0.0663±0.0048, ADE_b: 0.0821±0.0090, ADE_c: 0.1715±0.0393, ADE_c: 0.0753±0.0056, FDE_a: 0.1779±0.0141, FDE_b: 0.2009±0.0153, FDE_c: 0.7349±0.2260, FDE_d: 0.1984±0.0147
Experiment 12: ADE_a: 0.0666±0.0038, ADE_b: 0.0809±0.0072, ADE_c: 0.1740±0.0436, ADE_c: 0.0746±0.0051, FDE_a: 0.1789±0.0100, FDE_b: 0.1977±0.0125, FDE_c: 0.7560±0.2410, FDE_d: 0.1965±0.0117
Experiment 13: ADE_a: 0.0655±0.0052, ADE_b: 0.0813±0.0071, ADE_c: 0.1688±0.0410, ADE_c: 0.0745±0.0056, FDE_a: 0.1753±0.0153, FDE_b: 0.1993±0.0139, FDE_c: 0.7234±0.2297, FDE_d: 0.1968±0.0142
Experiment 14: ADE_a: 0.0655±0.0047, ADE_b: 0.0798±0.0082, ADE_c: 0.1631±0.0354, ADE_c: 0.0744±0.0060, FDE_a: 0.1758±0.0136, FDE_b: 0.1980±0.0162, FDE_c: 0.7054±0.2104, FDE_d: 0.1962±0.0150
Experiment 15: ADE_a: 0.0647±0.0054, ADE_b: 0.0806±0.0062, ADE_c: 0.1603±0.0347, ADE_c: 0.0749±0.0057, FDE_a: 0.1753±0.0168, FDE_b: 0.2007±0.0119, FDE_c: 0.6789±0.2050, FDE_d: 0.1980±0.0128
Experiment 16: ADE_a: 0.0635±0.0045, ADE_b: 0.0791±0.0085, ADE_c: 0.1529±0.0290, ADE_c: 0.0738±0.0068, FDE_a: 0.1723±0.0120, FDE_b: 0.1980±0.0164, FDE_c: 0.6388±0.1742, FDE_d: 0.1959±0.0152
Experiment 17: ADE_a: 0.0623±0.0038, ADE_b: 0.0776±0.0077, ADE_c: 0.1531±0.0321, ADE_c: 0.0727±0.0061, FDE_a: 0.1703±0.0101, FDE_b: 0.1958±0.0153, FDE_c: 0.6484±0.1876, FDE_d: 0.1940±0.0138
Experiment 18: ADE_a: 0.0645±0.0031, ADE_b: 0.0796±0.0045, ADE_c: 0.1509±0.0298, ADE_c: 0.0752±0.0046, FDE_a: 0.1737±0.0112, FDE_b: 0.1993±0.0090, FDE_c: 0.6297±0.1807, FDE_d: 0.1977±0.0087
Experiment 19: ADE_a: 0.0634±0.0041, ADE_b: 0.0778±0.0059, ADE_c: 0.1539±0.0350, ADE_c: 0.0740±0.0054, FDE_a: 0.1734±0.0106, FDE_b: 0.1980±0.0124, FDE_c: 0.6534±0.2149, FDE_d: 0.1967±0.0120
Experiment 20: ADE_a: 0.0615±0.0043, ADE_b: 0.0767±0.0082, ADE_c: 0.1489±0.0335, ADE_c: 0.0718±0.0066, FDE_a: 0.1678±0.0121, FDE_b: 0.1950±0.0169, FDE_c: 0.6316±0.2117, FDE_d: 0.1924±0.0152
Experiment 21: ADE_a: 0.0621±0.0045, ADE_b: 0.0768±0.0076, ADE_c: 0.1483±0.0335, ADE_c: 0.0730±0.0068, FDE_a: 0.1693±0.0124, FDE_b: 0.1952±0.0161, FDE_c: 0.6348±0.2252, FDE_d: 0.1938±0.0154
Experiment 22: ADE_a: 0.0618±0.0048, ADE_b: 0.0763±0.0074, ADE_c: 0.1520±0.0424, ADE_c: 0.0727±0.0072, FDE_a: 0.1680±0.0098, FDE_b: 0.1944±0.0161, FDE_c: 0.6628±0.2834, FDE_d: 0.1929±0.0150
Experiment 23: ADE_a: 0.0616±0.0044, ADE_b: 0.0756±0.0071, ADE_c: 0.1465±0.0351, ADE_c: 0.0720±0.0065, FDE_a: 0.1697±0.0109, FDE_b: 0.1951±0.0156, FDE_c: 0.6258±0.2363, FDE_d: 0.1933±0.0145
Experiment 24: ADE_a: 0.0611±0.0042, ADE_b: 0.0750±0.0066, ADE_c: 0.1464±0.0401, ADE_c: 0.0716±0.0065, FDE_a: 0.1676±0.0106, FDE_b: 0.1935±0.0155, FDE_c: 0.6830±0.3576, FDE_d: 0.1915±0.0145
Experiment 25: ADE_a: 0.0613±0.0052, ADE_b: 0.0764±0.0075, ADE_c: 0.1637±0.0723, ADE_c: 0.0724±0.0074, FDE_a: 0.1687±0.0133, FDE_b: 0.1947±0.0164, FDE_c: 0.7268±0.4537, FDE_d: 0.1939±0.0162
Experiment 26: ADE_a: 0.0611±0.0041, ADE_b: 0.0759±0.0072, ADE_c: 0.1417±0.0365, ADE_c: 0.0720±0.0069, FDE_a: 0.1681±0.0101, FDE_b: 0.1960±0.0160, FDE_c: 0.6148±0.2669, FDE_d: 0.1935±0.0148
Experiment 27: ADE_a: 0.0614±0.0049, ADE_b: 0.0760±0.0077, ADE_c: 0.1397±0.0377, ADE_c: 0.0724±0.0074, FDE_a: 0.1682±0.0118, FDE_b: 0.1949±0.0169, FDE_c: 0.6071±0.2773, FDE_d: 0.1931±0.0159
Experiment 28: ADE_a: 0.0602±0.0048, ADE_b: 0.0743±0.0068, ADE_c: 0.1436±0.0422, ADE_c: 0.0712±0.0069, FDE_a: 0.1649±0.0133, FDE_b: 0.1925±0.0147, FDE_c: 0.6373±0.3291, FDE_d: 0.1908±0.0147
Experiment 29: ADE_a: 0.0605±0.0045, ADE_b: 0.0752±0.0073, ADE_c: 0.1422±0.0442, ADE_c: 0.0718±0.0069, FDE_a: 0.1653±0.0098, FDE_b: 0.1951±0.0169, FDE_c: 0.6370±0.3478, FDE_d: 0.1938±0.0158
Experiment 30: ADE_a: 0.0597±0.0054, ADE_b: 0.0734±0.0071, ADE_c: 0.1363±0.0370, ADE_c: 0.0704±0.0074, FDE_a: 0.1645±0.0134, FDE_b: 0.1904±0.0157, FDE_c: 0.6048±0.3081, FDE_d: 0.1893±0.0156
Experiment 31: ADE_a: 0.0604±0.0051, ADE_b: 0.0748±0.0072, ADE_c: 0.1394±0.0448, ADE_c: 0.0718±0.0073, FDE_a: 0.1639±0.0122, FDE_b: 0.1930±0.0165, FDE_c: 0.6326±0.3819, FDE_d: 0.1911±0.0161
Experiment 32: ADE_a: 0.0598±0.0063, ADE_b: 0.0744±0.0079, ADE_c: 0.1407±0.0456, ADE_c: 0.0713±0.0080, FDE_a: 0.1646±0.0162, FDE_b: 0.1941±0.0181, FDE_c: 0.6419±0.4024, FDE_d: 0.1922±0.0181
Experiment 33: ADE_a: 0.0592±0.0060, ADE_b: 0.0747±0.0069, ADE_c: 0.1431±0.0525, ADE_c: 0.0712±0.0074, FDE_a: 0.1624±0.0169, FDE_b: 0.1930±0.0168, FDE_c: 0.6800±0.4768, FDE_d: 0.1913±0.0165
Experiment 34: ADE_a: 0.0594±0.0058, ADE_b: 0.0736±0.0080, ADE_c: 0.1437±0.0598, ADE_c: 0.0703±0.0078, FDE_a: 0.1637±0.0137, FDE_b: 0.1910±0.0174, FDE_c: 0.6885±0.5249, FDE_d: 0.1895±0.0167
Experiment 35: ADE_a: 0.0584±0.0056, ADE_b: 0.0732±0.0087, ADE_c: 0.1475±0.0688, ADE_c: 0.0701±0.0084, FDE_a: 0.1606±0.0137, FDE_b: 0.1929±0.0194, FDE_c: 0.7583±0.6721, FDE_d: 0.1898±0.0178
Experiment 36: ADE_a: 0.0588±0.0059, ADE_b: 0.0727±0.0077, ADE_c: 0.1491±0.0736, ADE_c: 0.0701±0.0081, FDE_a: 0.1624±0.0145, FDE_b: 0.1906±0.0171, FDE_c: 0.8473±0.8602, FDE_d: 0.1894±0.0170
Experiment 37: ADE_a: 0.0588±0.0060, ADE_b: 0.0735±0.0079, ADE_c: 0.1691±0.1101, ADE_c: 0.0705±0.0082, FDE_a: 0.1608±0.0136, FDE_b: 0.1913±0.0177, FDE_c: 1.2553±1.6777, FDE_d: 0.1900±0.0176
Experiment 38: ADE_a: 0.0598±0.0060, ADE_b: 0.0740±0.0087, ADE_c: 0.1563±0.0896, ADE_c: 0.0710±0.0086, FDE_a: 0.1638±0.0120, FDE_b: 0.1924±0.0171, FDE_c: 0.9186±1.0204, FDE_d: 0.1909±0.0165
Experiment 39: ADE_a: 0.0591±0.0067, ADE_b: 0.0734±0.0092, ADE_c: 0.1654±0.1079, ADE_c: 0.0702±0.0091, FDE_a: 0.1624±0.0160, FDE_b: 0.1915±0.0196, FDE_c: 1.0226±1.2292, FDE_d: 0.1899±0.0191
Experiment 40: ADE_a: 0.0595±0.0065, ADE_b: 0.0729±0.0090, ADE_c: 0.1674±0.1163, ADE_c: 0.0703±0.0091, FDE_a: 0.1641±0.0140, FDE_b: 0.1920±0.0190, FDE_c: 1.0582±1.3253, FDE_d: 0.1909±0.0190
Experiment 41: ADE_a: 0.0602±0.0075, ADE_b: 0.0745±0.0096, ADE_c: 0.4526±0.6814, ADE_c: 0.0716±0.0096, FDE_a: 0.1655±0.0200, FDE_b: 0.1941±0.0199, FDE_c: 6.7699±12.7420, FDE_d: 0.1929±0.0204
Experiment 42: ADE_a: 0.0584±0.0065, ADE_b: 0.0725±0.0089, ADE_c: 0.1779±0.1409, ADE_c: 0.0696±0.0088, FDE_a: 0.1605±0.0153, FDE_b: 0.1904±0.0183, FDE_c: 1.0316±1.2784, FDE_d: 0.1883±0.0181
Experiment 43: ADE_a: 0.0581±0.0059, ADE_b: 0.0730±0.0090, ADE_c: 0.2314±0.2432, ADE_c: 0.0701±0.0088, FDE_a: 0.1591±0.0148, FDE_b: 0.1924±0.0196, FDE_c: 2.2944±3.7926, FDE_d: 0.1901±0.0188
Experiment 44: ADE_a: 0.0585±0.0063, ADE_b: 0.0724±0.0089, ADE_c: 0.2961±0.2732, ADE_c: 0.0699±0.0091, FDE_a: 0.1598±0.0136, FDE_b: 0.1899±0.0184, FDE_c: 3.4532±4.6912, FDE_d: 0.1887±0.0182
Experiment 45: ADE_a: 0.0576±0.0062, ADE_b: 0.0716±0.0082, ADE_c: 0.1616±0.1089, ADE_c: 0.0690±0.0086, FDE_a: 0.1583±0.0140, FDE_b: 0.1889±0.0175, FDE_c: 0.9836±1.2074, FDE_d: 0.1873±0.0175
Experiment 46: ADE_a: 0.0587±0.0061, ADE_b: 0.0733±0.0074, ADE_c: 0.1799±0.1418, ADE_c: 0.0708±0.0081, FDE_a: 0.1600±0.0138, FDE_b: 0.1922±0.0152, FDE_c: 1.3162±1.8676, FDE_d: 0.1908±0.0158
Experiment 47: ADE_a: 0.0582±0.0069, ADE_b: 0.0732±0.0095, ADE_c: 0.1888±0.1643, ADE_c: 0.0705±0.0091, FDE_a: 0.1599±0.0171, FDE_b: 0.1928±0.0194, FDE_c: 1.4650±2.1796, FDE_d: 0.1912±0.0196
Experiment 48: ADE_a: 0.0575±0.0059, ADE_b: 0.0719±0.0091, ADE_c: 0.1884±0.1609, ADE_c: 0.0692±0.0091, FDE_a: 0.1579±0.0133, FDE_b: 0.1902±0.0183, FDE_c: 1.4208±2.0192, FDE_d: 0.1879±0.0180
Experiment 49: ADE_a: 0.0577±0.0063, ADE_b: 0.0731±0.0088, ADE_c: 0.1845±0.1566, ADE_c: 0.0702±0.0094, FDE_a: 0.1584±0.0134, FDE_b: 0.1931±0.0189, FDE_c: 1.3074±1.8343, FDE_d: 0.1906±0.0190

Results for prediction length: 50
Experiment 01: ADE_a: 0.3240±0.0998, ADE_b: 0.7199±0.0901, ADE_c: 0.9756±0.2160, ADE_c: 0.2207±0.0139, FDE_a: 0.8445±0.1477, FDE_b: 0.5288±0.0319, FDE_c: 3.4012±0.5763, FDE_d: 0.5297±0.0330
Experiment 02: ADE_a: 0.3146±0.1010, ADE_b: 0.6810±0.1142, ADE_c: 0.9822±0.2395, ADE_c: 0.2190±0.0164, FDE_a: 0.7941±0.1359, FDE_b: 0.5197±0.0345, FDE_c: 3.4525±0.6549, FDE_d: 0.5167±0.0327
