
Results for prediction length: 25
Experiment 01: ADE_a: 0.0874±0.0045, ADE_b: 0.1015±0.0075, ADE_c: 0.2334±0.1198, ADE_c: 0.0855±0.0057, FDE_a: 0.2106±0.0102, FDE_b: 0.2199±0.0125, FDE_c: 0.8734±0.4694, FDE_d: 0.2175±0.0143
Experiment 02: ADE_a: 0.0837±0.0037, ADE_b: 0.0990±0.0055, ADE_c: 0.2401±0.1161, ADE_c: 0.0845±0.0074, FDE_a: 0.2099±0.0068, FDE_b: 0.2236±0.0152, FDE_c: 0.9195±0.4704, FDE_d: 0.2217±0.0162
Experiment 03: ADE_a: 0.0833±0.0067, ADE_b: 0.0978±0.0083, ADE_c: 0.2378±0.1194, ADE_c: 0.0856±0.0066, FDE_a: 0.2118±0.0139, FDE_b: 0.2203±0.0135, FDE_c: 0.9172±0.4925, FDE_d: 0.2194±0.0136
Experiment 04: ADE_a: 0.0809±0.0081, ADE_b: 0.0940±0.0088, ADE_c: 0.2398±0.1229, ADE_c: 0.0847±0.0068, FDE_a: 0.2077±0.0216, FDE_b: 0.2235±0.0165, FDE_c: 0.9314±0.5045, FDE_d: 0.2220±0.0177
Experiment 05: ADE_a: 0.0790±0.0068, ADE_b: 0.0903±0.0080, ADE_c: 0.2377±0.1168, ADE_c: 0.0824±0.0063, FDE_a: 0.2030±0.0165, FDE_b: 0.2195±0.0155, FDE_c: 0.9362±0.5010, FDE_d: 0.2172±0.0161
Experiment 06: ADE_a: 0.0758±0.0062, ADE_b: 0.0897±0.0087, ADE_c: 0.2332±0.1123, ADE_c: 0.0829±0.0065, FDE_a: 0.1931±0.0147, FDE_b: 0.2184±0.0153, FDE_c: 0.9262±0.4984, FDE_d: 0.2158±0.0153
Experiment 07: ADE_a: 0.0746±0.0047, ADE_b: 0.0883±0.0081, ADE_c: 0.2323±0.1093, ADE_c: 0.0821±0.0053, FDE_a: 0.1910±0.0100, FDE_b: 0.2170±0.0156, FDE_c: 0.9264±0.4890, FDE_d: 0.2140±0.0148
Experiment 08: ADE_a: 0.0738±0.0055, ADE_b: 0.0871±0.0076, ADE_c: 0.2254±0.0999, ADE_c: 0.0816±0.0059, FDE_a: 0.1877±0.0150, FDE_b: 0.2169±0.0133, FDE_c: 0.9061±0.4629, FDE_d: 0.2141±0.0143
Experiment 09: ADE_a: 0.0737±0.0060, ADE_b: 0.0861±0.0076, ADE_c: 0.2207±0.0956, ADE_c: 0.0817±0.0065, FDE_a: 0.1882±0.0157, FDE_b: 0.2150±0.0141, FDE_c: 0.8925±0.4546, FDE_d: 0.2126±0.0143
Experiment 10: ADE_a: 0.0725±0.0039, ADE_b: 0.0852±0.0075, ADE_c: 0.2150±0.0882, ADE_c: 0.0812±0.0060, FDE_a: 0.1861±0.0092, FDE_b: 0.2147±0.0151, FDE_c: 0.8831±0.4369, FDE_d: 0.2128±0.0144
Experiment 11: ADE_a: 0.0720±0.0042, ADE_b: 0.0859±0.0065, ADE_c: 0.2108±0.0842, ADE_c: 0.0820±0.0055, FDE_a: 0.1855±0.0110, FDE_b: 0.2163±0.0123, FDE_c: 0.8594±0.4218, FDE_d: 0.2137±0.0127
