Results for prediction length: 25
Experiment 01: ADE_a: 0.0920±0.0068, ADE_b: 0.1073±0.0113, ADE_c: 0.1797±0.0438, ADE_c: 0.0928±0.0065, FDE_a: 0.2205±0.0142, FDE_b: 0.2270±0.0160, FDE_c: 0.6119±0.2064, FDE_d: 0.2268±0.0158
Experiment 02: ADE_a: 0.0932±0.0130, ADE_b: 0.1094±0.0135, ADE_c: 0.1836±0.0554, ADE_c: 0.0965±0.0112, FDE_a: 0.2198±0.0265, FDE_b: 0.2350±0.0215, FDE_c: 0.6290±0.2432, FDE_d: 0.2334±0.0216
Experiment 03: ADE_a: 0.0838±0.0061, ADE_b: 0.0988±0.0097, ADE_c: 0.1759±0.0500, ADE_c: 0.0856±0.0042, FDE_a: 0.2064±0.0187, FDE_b: 0.2139±0.0118, FDE_c: 0.6369±0.2453, FDE_d: 0.2135±0.0122
Experiment 04: ADE_a: 0.0814±0.0073, ADE_b: 0.0964±0.0113, ADE_c: 0.1749±0.0536, ADE_c: 0.0845±0.0063, FDE_a: 0.2019±0.0164, FDE_b: 0.2123±0.0137, FDE_c: 0.6350±0.2618, FDE_d: 0.2124±0.0141
Experiment 05: ADE_a: 0.0787±0.0062, ADE_b: 0.0962±0.0104, ADE_c: 0.1799±0.0555, ADE_c: 0.0852±0.0066, FDE_a: 0.1876±0.0106, FDE_b: 0.2149±0.0150, FDE_c: 0.6603±0.2744, FDE_d: 0.2111±0.0133
Experiment 06: ADE_a: 0.0769±0.0065, ADE_b: 0.0910±0.0104, ADE_c: 0.1745±0.0541, ADE_c: 0.0824±0.0065, FDE_a: 0.1885±0.0121, FDE_b: 0.2076±0.0143, FDE_c: 0.6500±0.2741, FDE_d: 0.2069±0.0146
Experiment 07: ADE_a: 0.0762±0.0070, ADE_b: 0.0901±0.0100, ADE_c: 0.1741±0.0555, ADE_c: 0.0824±0.0068, FDE_a: 0.1900±0.0161, FDE_b: 0.2074±0.0138, FDE_c: 0.6549±0.2826, FDE_d: 0.2064±0.0152
Experiment 08: ADE_a: 0.0762±0.0094, ADE_b: 0.0909±0.0089, ADE_c: 0.1791±0.0560, ADE_c: 0.0832±0.0063, FDE_a: 0.1884±0.0250, FDE_b: 0.2094±0.0142, FDE_c: 0.6713±0.2887, FDE_d: 0.2080±0.0153
Experiment 09: ADE_a: 0.0802±0.0105, ADE_b: 0.0926±0.0100, ADE_c: 0.1824±0.0616, ADE_c: 0.0863±0.0099, FDE_a: 0.1982±0.0187, FDE_b: 0.2182±0.0223, FDE_c: 0.6793±0.2986, FDE_d: 0.2154±0.0216
Experiment 10: ADE_a: 0.0726±0.0070, ADE_b: 0.0860±0.0085, ADE_c: 0.1759±0.0593, ADE_c: 0.0794±0.0068, FDE_a: 0.1806±0.0135, FDE_b: 0.2030±0.0149, FDE_c: 0.6784±0.3045, FDE_d: 0.2016±0.0149
Experiment 11: ADE_a: 0.0719±0.0070, ADE_b: 0.0840±0.0087, ADE_c: 0.1800±0.0620, ADE_c: 0.0791±0.0067, FDE_a: 0.1787±0.0138, FDE_b: 0.2020±0.0170, FDE_c: 0.6967±0.3165, FDE_d: 0.2008±0.0159
Experiment 12: ADE_a: 0.0704±0.0077, ADE_b: 0.0820±0.0092, ADE_c: 0.1816±0.0678, ADE_c: 0.0778±0.0078, FDE_a: 0.1779±0.0168, FDE_b: 0.1989±0.0168, FDE_c: 0.7209±0.3527, FDE_d: 0.1977±0.0158
Experiment 13: ADE_a: 0.0723±0.0078, ADE_b: 0.0859±0.0092, ADE_c: 0.1844±0.0699, ADE_c: 0.0805±0.0071, FDE_a: 0.1788±0.0180, FDE_b: 0.2061±0.0185, FDE_c: 0.7266±0.3567, FDE_d: 0.2048±0.0175
Experiment 14: ADE_a: 0.0689±0.0059, ADE_b: 0.0807±0.0079, ADE_c: 0.1862±0.0733, ADE_c: 0.0763±0.0054, FDE_a: 0.1738±0.0157, FDE_b: 0.1978±0.0152, FDE_c: 0.7615±0.4128, FDE_d: 0.1954±0.0141
Experiment 15: ADE_a: 0.0689±0.0071, ADE_b: 0.0804±0.0084, ADE_c: 0.1889±0.0758, ADE_c: 0.0763±0.0071, FDE_a: 0.1735±0.0168, FDE_b: 0.1984±0.0162, FDE_c: 0.7609±0.4106, FDE_d: 0.1962±0.0160
Experiment 16: ADE_a: 0.0696±0.0106, ADE_b: 0.0820±0.0122, ADE_c: 0.1896±0.0801, ADE_c: 0.0778±0.0104, FDE_a: 0.1770±0.0243, FDE_b: 0.2017±0.0246, FDE_c: 0.8049±0.4914, FDE_d: 0.2000±0.0240
Experiment 17: ADE_a: 0.0692±0.0031, ADE_b: 0.0819±0.0044, ADE_c: 0.1901±0.0779, ADE_c: 0.0782±0.0041, FDE_a: 0.1759±0.0070, FDE_b: 0.2042±0.0078, FDE_c: 0.8006±0.5043, FDE_d: 0.2004±0.0069
Experiment 18: ADE_a: 0.0664±0.0062, ADE_b: 0.0789±0.0068, ADE_c: 0.1873±0.0829, ADE_c: 0.0742±0.0061, FDE_a: 0.1684±0.0141, FDE_b: 0.1949±0.0126, FDE_c: 0.8242±0.5571, FDE_d: 0.1928±0.0145
Experiment 19: ADE_a: 0.0632±0.0062, ADE_b: 0.0770±0.0049, ADE_c: 0.2026±0.1147, ADE_c: 0.0720±0.0050, FDE_a: 0.1649±0.0132, FDE_b: 0.1922±0.0105, FDE_c: 1.0062±0.9214, FDE_d: 0.1894±0.0119
Experiment 20: ADE_a: 0.0636±0.0057, ADE_b: 0.0747±0.0070, ADE_c: 0.2142±0.1407, ADE_c: 0.0709±0.0056, FDE_a: 0.1648±0.0126, FDE_b: 0.1886±0.0137, FDE_c: 1.1310±1.1877, FDE_d: 0.1875±0.0139
Experiment 21: ADE_a: 0.0652±0.0078, ADE_b: 0.0771±0.0087, ADE_c: 0.2003±0.1164, ADE_c: 0.0742±0.0089, FDE_a: 0.1668±0.0136, FDE_b: 0.1944±0.0166, FDE_c: 0.9979±0.9693, FDE_d: 0.1931±0.0167
Experiment 22: ADE_a: 0.0629±0.0058, ADE_b: 0.0753±0.0051, ADE_c: 0.2255±0.1707, ADE_c: 0.0715±0.0046, FDE_a: 0.1640±0.0143, FDE_b: 0.1895±0.0121, FDE_c: 1.2809±1.5317, FDE_d: 0.1885±0.0130
Experiment 23: ADE_a: 0.0614±0.0063, ADE_b: 0.0735±0.0070, ADE_c: 0.2347±0.1970, ADE_c: 0.0701±0.0067, FDE_a: 0.1609±0.0123, FDE_b: 0.1883±0.0155, FDE_c: 1.4102±1.8187, FDE_d: 0.1866±0.0154
