
Results for prediction length: 25
Experiment 01: ADE_a: 0.0947±0.0081, ADE_b: 0.1166±0.0091, ADE_c: 0.2115±0.0425, ADE_c: 0.0951±0.0070, FDE_a: 0.2252±0.0154, FDE_b: 0.2299±0.0159, FDE_c: 0.7676±0.1867, FDE_d: 0.2283±0.0150
Experiment 02: ADE_a: 0.0922±0.0072, ADE_b: 0.1088±0.0096, ADE_c: 0.2153±0.0434, ADE_c: 0.0931±0.0057, FDE_a: 0.2134±0.0151, FDE_b: 0.2266±0.0150, FDE_c: 0.7972±0.1855, FDE_d: 0.2251±0.0144
Experiment 03: ADE_a: 0.0854±0.0080, ADE_b: 0.1038±0.0058, ADE_c: 0.2275±0.0535, ADE_c: 0.0929±0.0068, FDE_a: 0.2053±0.0105, FDE_b: 0.2298±0.0144, FDE_c: 0.8453±0.2154, FDE_d: 0.2281±0.0122
Experiment 04: ADE_a: 0.0815±0.0067, ADE_b: 0.0979±0.0074, ADE_c: 0.2227±0.0489, ADE_c: 0.0872±0.0071, FDE_a: 0.2041±0.0177, FDE_b: 0.2162±0.0140, FDE_c: 0.8628±0.2071, FDE_d: 0.2155±0.0156
Experiment 05: ADE_a: 0.0806±0.0085, ADE_b: 0.0935±0.0100, ADE_c: 0.2259±0.0542, ADE_c: 0.0854±0.0099, FDE_a: 0.1954±0.0186, FDE_b: 0.2131±0.0184, FDE_c: 0.8739±0.2060, FDE_d: 0.2107±0.0186
Experiment 06: ADE_a: 0.0802±0.0098, ADE_b: 0.0967±0.0098, ADE_c: 0.2216±0.0413, ADE_c: 0.0874±0.0102, FDE_a: 0.1941±0.0175, FDE_b: 0.2181±0.0200, FDE_c: 0.8522±0.1928, FDE_d: 0.2146±0.0181
Experiment 07: ADE_a: 0.0780±0.0047, ADE_b: 0.0920±0.0086, ADE_c: 0.2181±0.0456, ADE_c: 0.0828±0.0059, FDE_a: 0.1942±0.0124, FDE_b: 0.2106±0.0152, FDE_c: 0.8753±0.2016, FDE_d: 0.2095±0.0153
Experiment 08: ADE_a: 0.0776±0.0097, ADE_b: 0.0890±0.0128, ADE_c: 0.2230±0.0486, ADE_c: 0.0823±0.0123, FDE_a: 0.1929±0.0218, FDE_b: 0.2105±0.0300, FDE_c: 0.8809±0.2082, FDE_d: 0.2092±0.0283
Experiment 09: ADE_a: 0.0732±0.0054, ADE_b: 0.0854±0.0081, ADE_c: 0.2302±0.0535, ADE_c: 0.0776±0.0047, FDE_a: 0.1864±0.0159, FDE_b: 0.1993±0.0119, FDE_c: 0.9239±0.2289, FDE_d: 0.1996±0.0117
Experiment 10: ADE_a: 0.0732±0.0031, ADE_b: 0.0864±0.0067, ADE_c: 0.2279±0.0537, ADE_c: 0.0802±0.0055, FDE_a: 0.1830±0.0130, FDE_b: 0.2025±0.0143, FDE_c: 0.9402±0.2635, FDE_d: 0.2010±0.0135
Experiment 11: ADE_a: 0.0705±0.0061, ADE_b: 0.0820±0.0075, ADE_c: 0.2415±0.0695, ADE_c: 0.0768±0.0065, FDE_a: 0.1792±0.0175, FDE_b: 0.1974±0.0137, FDE_c: 1.0253±0.3870, FDE_d: 0.1970±0.0139
Experiment 12: ADE_a: 0.0698±0.0056, ADE_b: 0.0809±0.0071, ADE_c: 0.2307±0.0585, ADE_c: 0.0759±0.0054, FDE_a: 0.1796±0.0169, FDE_b: 0.1964±0.0130, FDE_c: 0.9739±0.2920, FDE_d: 0.1962±0.0134
Experiment 13: ADE_a: 0.0697±0.0066, ADE_b: 0.0821±0.0102, ADE_c: 0.2343±0.0581, ADE_c: 0.0753±0.0065, FDE_a: 0.1794±0.0197, FDE_b: 0.1969±0.0153, FDE_c: 0.9975±0.3108, FDE_d: 0.1962±0.0152
Experiment 14: ADE_a: 0.0679±0.0055, ADE_b: 0.0799±0.0062, ADE_c: 0.2379±0.0596, ADE_c: 0.0743±0.0061, FDE_a: 0.1761±0.0143, FDE_b: 0.1965±0.0145, FDE_c: 1.0219±0.3367, FDE_d: 0.1945±0.0144
Experiment 15: ADE_a: 0.0694±0.0043, ADE_b: 0.0814±0.0070, ADE_c: 0.2304±0.0499, ADE_c: 0.0765±0.0044, FDE_a: 0.1800±0.0120, FDE_b: 0.1985±0.0142, FDE_c: 0.9931±0.2477, FDE_d: 0.1988±0.0136
Experiment 16: ADE_a: 0.0690±0.0097, ADE_b: 0.0831±0.0134, ADE_c: 0.2280±0.0579, ADE_c: 0.0782±0.0122, FDE_a: 0.1762±0.0221, FDE_b: 0.2020±0.0251, FDE_c: 0.9770±0.3145, FDE_d: 0.1999±0.0235
Experiment 17: ADE_a: 0.0678±0.0073, ADE_b: 0.0789±0.0077, ADE_c: 0.2512±0.0733, ADE_c: 0.0752±0.0080, FDE_a: 0.1754±0.0175, FDE_b: 0.1966±0.0160, FDE_c: 1.1211±0.4996, FDE_d: 0.1957±0.0165
Experiment 18: ADE_a: 0.0659±0.0054, ADE_b: 0.0789±0.0071, ADE_c: 0.2412±0.0639, ADE_c: 0.0736±0.0063, FDE_a: 0.1709±0.0140, FDE_b: 0.1952±0.0137, FDE_c: 1.0471±0.3768, FDE_d: 0.1942±0.0142
Experiment 19: ADE_a: 0.0675±0.0048, ADE_b: 0.0801±0.0074, ADE_c: 0.2444±0.0589, ADE_c: 0.0755±0.0052, FDE_a: 0.1748±0.0125, FDE_b: 0.1974±0.0114, FDE_c: 1.0680±0.3654, FDE_d: 0.1968±0.0117
