
Results for prediction length: 25
Experiment 01: ADE_a: 0.1043±0.0093, ADE_b: 0.1242±0.0154, ADE_c: 0.1690±0.0202, ADE_c: 0.1121±0.0136, FDE_a: 0.2393±0.0202, FDE_b: 0.2597±0.0284, FDE_c: 0.4905±0.1516, FDE_d: 0.2581±0.0281
Experiment 02: ADE_a: 0.0905±0.0076, ADE_b: 0.1061±0.0074, ADE_c: 0.1542±0.0273, ADE_c: 0.0984±0.0085, FDE_a: 0.2117±0.0195, FDE_b: 0.2351±0.0181, FDE_c: 0.4641±0.1764, FDE_d: 0.2344±0.0200
Experiment 03: ADE_a: 0.0908±0.0035, ADE_b: 0.1035±0.0063, ADE_c: 0.1471±0.0292, ADE_c: 0.0984±0.0048, FDE_a: 0.2096±0.0103, FDE_b: 0.2334±0.0120, FDE_c: 0.4426±0.1819, FDE_d: 0.2325±0.0120
Experiment 04: ADE_a: 0.0839±0.0073, ADE_b: 0.0972±0.0095, ADE_c: 0.1436±0.0295, ADE_c: 0.0922±0.0078, FDE_a: 0.2002±0.0159, FDE_b: 0.2254±0.0187, FDE_c: 0.4429±0.1992, FDE_d: 0.2245±0.0187
Experiment 05: ADE_a: 0.0875±0.0081, ADE_b: 0.0982±0.0097, ADE_c: 0.1447±0.0339, ADE_c: 0.0958±0.0081, FDE_a: 0.2088±0.0280, FDE_b: 0.2319±0.0269, FDE_c: 0.4424±0.2029, FDE_d: 0.2326±0.0265
Experiment 06: ADE_a: 0.0822±0.0059, ADE_b: 0.0948±0.0088, ADE_c: 0.1395±0.0315, ADE_c: 0.0904±0.0083, FDE_a: 0.2009±0.0152, FDE_b: 0.2221±0.0179, FDE_c: 0.4318±0.2069, FDE_d: 0.2219±0.0179
Experiment 07: ADE_a: 0.0828±0.0076, ADE_b: 0.0954±0.0094, ADE_c: 0.1376±0.0304, ADE_c: 0.0913±0.0090, FDE_a: 0.1986±0.0170, FDE_b: 0.2227±0.0201, FDE_c: 0.4247±0.2093, FDE_d: 0.2223±0.0198
Experiment 08: ADE_a: 0.0813±0.0048, ADE_b: 0.0927±0.0075, ADE_c: 0.1362±0.0321, ADE_c: 0.0893±0.0075, FDE_a: 0.1969±0.0158, FDE_b: 0.2194±0.0199, FDE_c: 0.4224±0.2110, FDE_d: 0.2186±0.0191
Experiment 09: ADE_a: 0.0795±0.0070, ADE_b: 0.0922±0.0097, ADE_c: 0.1321±0.0281, ADE_c: 0.0892±0.0093, FDE_a: 0.1913±0.0135, FDE_b: 0.2215±0.0209, FDE_c: 0.4067±0.1981, FDE_d: 0.2180±0.0183
Experiment 10: ADE_a: 0.0810±0.0146, ADE_b: 0.0958±0.0152, ADE_c: 0.1339±0.0296, ADE_c: 0.0911±0.0143, FDE_a: 0.1963±0.0291, FDE_b: 0.2237±0.0256, FDE_c: 0.4111±0.2019, FDE_d: 0.2218±0.0270
Experiment 11: ADE_a: 0.0743±0.0062, ADE_b: 0.0867±0.0084, ADE_c: 0.1285±0.0266, ADE_c: 0.0842±0.0079, FDE_a: 0.1817±0.0150, FDE_b: 0.2122±0.0187, FDE_c: 0.3985±0.1933, FDE_d: 0.2097±0.0176
Experiment 12: ADE_a: 0.0764±0.0072, ADE_b: 0.0897±0.0103, ADE_c: 0.1267±0.0240, ADE_c: 0.0865±0.0097, FDE_a: 0.1881±0.0177, FDE_b: 0.2162±0.0219, FDE_c: 0.3923±0.1827, FDE_d: 0.2144±0.0210
Experiment 13: ADE_a: 0.0750±0.0018, ADE_b: 0.0891±0.0036, ADE_c: 0.1244±0.0248, ADE_c: 0.0864±0.0033, FDE_a: 0.1819±0.0072, FDE_b: 0.2159±0.0060, FDE_c: 0.3756±0.1697, FDE_d: 0.2140±0.0059
Experiment 14: ADE_a: 0.0754±0.0065, ADE_b: 0.0866±0.0086, ADE_c: 0.1227±0.0209, ADE_c: 0.0851±0.0083, FDE_a: 0.1839±0.0149, FDE_b: 0.2101±0.0178, FDE_c: 0.3723±0.1634, FDE_d: 0.2094±0.0169
Experiment 15: ADE_a: 0.0763±0.0094, ADE_b: 0.0904±0.0125, ADE_c: 0.1223±0.0210, ADE_c: 0.0865±0.0110, FDE_a: 0.1889±0.0227, FDE_b: 0.2162±0.0235, FDE_c: 0.3709±0.1619, FDE_d: 0.2149±0.0233
Experiment 16: ADE_a: 0.0741±0.0066, ADE_b: 0.0875±0.0089, ADE_c: 0.1219±0.0163, ADE_c: 0.0847±0.0086, FDE_a: 0.1846±0.0146, FDE_b: 0.2125±0.0194, FDE_c: 0.3678±0.1458, FDE_d: 0.2114±0.0187
Experiment 17: ADE_a: 0.0733±0.0069, ADE_b: 0.0883±0.0107, ADE_c: 0.1204±0.0187, ADE_c: 0.0844±0.0095, FDE_a: 0.1821±0.0191, FDE_b: 0.2126±0.0224, FDE_c: 0.3633±0.1477, FDE_d: 0.2110±0.0214
Experiment 18: ADE_a: 0.0738±0.0064, ADE_b: 0.0873±0.0094, ADE_c: 0.1182±0.0148, ADE_c: 0.0845±0.0088, FDE_a: 0.1854±0.0171, FDE_b: 0.2147±0.0211, FDE_c: 0.3511±0.1250, FDE_d: 0.2130±0.0207
Experiment 19: ADE_a: 0.0728±0.0064, ADE_b: 0.0872±0.0097, ADE_c: 0.1169±0.0154, ADE_c: 0.0839±0.0079, FDE_a: 0.1808±0.0155, FDE_b: 0.2128±0.0184, FDE_c: 0.3467±0.1267, FDE_d: 0.2106±0.0164
Experiment 20: ADE_a: 0.0737±0.0063, ADE_b: 0.0900±0.0108, ADE_c: 0.1172±0.0118, ADE_c: 0.0854±0.0096, FDE_a: 0.1826±0.0133, FDE_b: 0.2162±0.0222, FDE_c: 0.3456±0.1195, FDE_d: 0.2129±0.0201
Experiment 21: ADE_a: 0.0723±0.0056, ADE_b: 0.0878±0.0073, ADE_c: 0.1179±0.0115, ADE_c: 0.0848±0.0070, FDE_a: 0.1809±0.0137, FDE_b: 0.2141±0.0163, FDE_c: 0.3463±0.1114, FDE_d: 0.2126±0.0149
Experiment 22: ADE_a: 0.0719±0.0080, ADE_b: 0.0868±0.0106, ADE_c: 0.1137±0.0082, ADE_c: 0.0837±0.0097, FDE_a: 0.1798±0.0168, FDE_b: 0.2121±0.0215, FDE_c: 0.3312±0.0990, FDE_d: 0.2098±0.0205
Experiment 23: ADE_a: 0.0725±0.0069, ADE_b: 0.0864±0.0093, ADE_c: 0.1141±0.0103, ADE_c: 0.0835±0.0083, FDE_a: 0.1837±0.0150, FDE_b: 0.2117±0.0190, FDE_c: 0.3339±0.1035, FDE_d: 0.2108±0.0176
Experiment 24: ADE_a: 0.0710±0.0066, ADE_b: 0.0850±0.0085, ADE_c: 0.1136±0.0121, ADE_c: 0.0825±0.0076, FDE_a: 0.1797±0.0136, FDE_b: 0.2098±0.0175, FDE_c: 0.3299±0.1046, FDE_d: 0.2087±0.0159
Experiment 25: ADE_a: 0.0727±0.0053, ADE_b: 0.0874±0.0077, ADE_c: 0.1142±0.0107, ADE_c: 0.0834±0.0075, FDE_a: 0.1855±0.0100, FDE_b: 0.2125±0.0170, FDE_c: 0.3312±0.0976, FDE_d: 0.2117±0.0160
Experiment 26: ADE_a: 0.0703±0.0074, ADE_b: 0.0848±0.0098, ADE_c: 0.1114±0.0066, ADE_c: 0.0820±0.0090, FDE_a: 0.1782±0.0162, FDE_b: 0.2093±0.0208, FDE_c: 0.3211±0.0822, FDE_d: 0.2077±0.0191
Experiment 27: ADE_a: 0.0710±0.0066, ADE_b: 0.0867±0.0085, ADE_c: 0.1106±0.0083, ADE_c: 0.0838±0.0072, FDE_a: 0.1767±0.0161, FDE_b: 0.2130±0.0175, FDE_c: 0.3126±0.0788, FDE_d: 0.2102±0.0175
Experiment 28: ADE_a: 0.0719±0.0081, ADE_b: 0.0863±0.0104, ADE_c: 0.1117±0.0042, ADE_c: 0.0841±0.0097, FDE_a: 0.1811±0.0167, FDE_b: 0.2129±0.0217, FDE_c: 0.3157±0.0696, FDE_d: 0.2118±0.0209
Experiment 29: ADE_a: 0.0724±0.0089, ADE_b: 0.0886±0.0115, ADE_c: 0.1150±0.0068, ADE_c: 0.0857±0.0109, FDE_a: 0.1810±0.0179, FDE_b: 0.2167±0.0225, FDE_c: 0.3216±0.0728, FDE_d: 0.2142±0.0225
Experiment 30: ADE_a: 0.0698±0.0073, ADE_b: 0.0853±0.0100, ADE_c: 0.1090±0.0043, ADE_c: 0.0821±0.0088, FDE_a: 0.1793±0.0173, FDE_b: 0.2119±0.0209, FDE_c: 0.3078±0.0618, FDE_d: 0.2105±0.0202
Experiment 31: ADE_a: 0.0705±0.0078, ADE_b: 0.0860±0.0097, ADE_c: 0.1094±0.0036, ADE_c: 0.0830±0.0090, FDE_a: 0.1796±0.0181, FDE_b: 0.2132±0.0207, FDE_c: 0.3087±0.0588, FDE_d: 0.2114±0.0201
Experiment 32: ADE_a: 0.0711±0.0073, ADE_b: 0.0878±0.0080, ADE_c: 0.1115±0.0055, ADE_c: 0.0847±0.0078, FDE_a: 0.1812±0.0168, FDE_b: 0.2173±0.0179, FDE_c: 0.3142±0.0684, FDE_d: 0.2150±0.0178
